,antecedents,consequents,support,lift
2,frozenset({'Google_Laptop_and_Cell_Phone_Stickers'}),frozenset({'Google_Doodle_Decal'}),0.15260545905707196,1.0
3,frozenset({'Google_Doodle_Decal'}),frozenset({'Google_Laptop_and_Cell_Phone_Stickers'}),0.15260545905707196,1.0
0,frozenset({'Google_Laptop_and_Cell_Phone_Stickers'}),frozenset({'Google_Doodle_Decal'}),0.384375,1.0
1,frozenset({'Google_Doodle_Decal'}),frozenset({'Google_Laptop_and_Cell_Phone_Stickers'}),0.384375,1.0
2,frozenset({'Google_Doodle_Decal'}),frozenset({'8_pc_Android_Sticker_Sheet'}),0.165625,1.0
3,frozenset({'8_pc_Android_Sticker_Sheet'}),frozenset({'Google_Doodle_Decal'}),0.165625,1.0
4,frozenset({'Google_Doodle_Decal'}),frozenset({'Google_22_oz_Water_Bottle'}),0.153125,1.0
5,frozenset({'Google_22_oz_Water_Bottle'}),frozenset({'Google_Doodle_Decal'}),0.153125,1.0
0,frozenset({'8_pc_Android_Sticker_Sheet'}),frozenset({'Google_Laptop_and_Cell_Phone_Stickers'}),0.1553398058252427,1.0455194290245835
1,"frozenset({'8_pc_Android_Sticker_Sheet', 'Android_Sticker_Sheet_Ultra_Removable'})",frozenset({'Google_Laptop_and_Cell_Phone_Stickers'}),0.1553398058252427,1.0455194290245835
2,frozenset({'8_pc_Android_Sticker_Sheet'}),"frozenset({'Google_Laptop_and_Cell_Phone_Stickers', 'Android_Sticker_Sheet_Ultra_Removable'})",0.1553398058252427,1.0455194290245835
3,frozenset({'Google_Laptop_and_Cell_Phone_Stickers'}),frozenset({'8_pc_Android_Sticker_Sheet'}),0.1553398058252427,1.0455194290245833
4,"frozenset({'Google_Laptop_and_Cell_Phone_Stickers', 'Android_Sticker_Sheet_Ultra_Removable'})",frozenset({'8_pc_Android_Sticker_Sheet'}),0.1553398058252427,1.0455194290245833
5,frozenset({'Google_Laptop_and_Cell_Phone_Stickers'}),"frozenset({'8_pc_Android_Sticker_Sheet', 'Android_Sticker_Sheet_Ultra_Removable'})",0.1553398058252427,1.0455194290245833
0,frozenset({'Google_22_oz_Water_Bottle'}),frozenset({'Google_Metallic_Notebook_Set'}),0.17989417989417988,1.0
1,frozenset({'Google_Metallic_Notebook_Set'}),frozenset({'Google_22_oz_Water_Bottle'}),0.17989417989417988,1.0
2,frozenset({'Google_Laptop_and_Cell_Phone_Stickers'}),frozenset({'Google_Metallic_Notebook_Set'}),0.164021164021164,1.0
3,frozenset({'Google_Metallic_Notebook_Set'}),frozenset({'Google_Laptop_and_Cell_Phone_Stickers'}),0.164021164021164,1.0
0,frozenset({'Google_22_oz_Water_Bottle'}),frozenset({'1_oz_Hand_Sanitizer'}),0.2868217054263566,1.0
1,frozenset({'1_oz_Hand_Sanitizer'}),frozenset({'Google_22_oz_Water_Bottle'}),0.2868217054263566,1.0
2,frozenset({'Google_Sunglasses'}),frozenset({'1_oz_Hand_Sanitizer'}),0.24031007751937986,1.0
3,frozenset({'1_oz_Hand_Sanitizer'}),frozenset({'Google_Sunglasses'}),0.24031007751937986,1.0
4,frozenset({'Google_Kick_Ball'}),frozenset({'1_oz_Hand_Sanitizer'}),0.2248062015503876,1.0
5,frozenset({'1_oz_Hand_Sanitizer'}),frozenset({'Google_Kick_Ball'}),0.2248062015503876,1.0
0,frozenset({'Google_22_oz_Water_Bottle'}),frozenset({'Sport_Bag'}),0.2426470588235294,1.0
1,frozenset({'Sport_Bag'}),frozenset({'Google_22_oz_Water_Bottle'}),0.2426470588235294,1.0
2,frozenset({'Google_Laptop_and_Cell_Phone_Stickers'}),frozenset({'Sport_Bag'}),0.15441176470588236,1.0
3,frozenset({'Sport_Bag'}),frozenset({'Google_Laptop_and_Cell_Phone_Stickers'}),0.15441176470588236,1.0
0,frozenset({'Collapsible_Shopping_Bag'}),frozenset({'Google_22_oz_Water_Bottle'}),0.23529411764705882,1.0
1,frozenset({'Google_22_oz_Water_Bottle'}),frozenset({'Collapsible_Shopping_Bag'}),0.23529411764705882,1.0
2,frozenset({'Collapsible_Shopping_Bag'}),frozenset({'Sport_Bag'}),0.1568627450980392,1.0
3,frozenset({'Sport_Bag'}),frozenset({'Collapsible_Shopping_Bag'}),0.1568627450980392,1.0
0,frozenset({'Nest_Cam_Outdoor_Security_Camera_-_USA'}),frozenset({'Nest_Cam_Indoor_Security_Camera_-_USA'}),0.21455108359133127,1.0
1,frozenset({'Nest_Cam_Indoor_Security_Camera_-_USA'}),frozenset({'Nest_Cam_Outdoor_Security_Camera_-_USA'}),0.21455108359133127,1.0
0,frozenset({'SPF-15_Slim_&_Slender_Lip_Balm'}),frozenset({'1_oz_Hand_Sanitizer'}),0.23770491803278687,1.0
1,frozenset({'1_oz_Hand_Sanitizer'}),frozenset({'SPF-15_Slim_&_Slender_Lip_Balm'}),0.23770491803278687,1.0
2,frozenset({'SPF-15_Slim_&_Slender_Lip_Balm'}),frozenset({'Google_Kick_Ball'}),0.20491803278688525,1.0
3,frozenset({'Google_Kick_Ball'}),frozenset({'SPF-15_Slim_&_Slender_Lip_Balm'}),0.20491803278688525,1.0
4,frozenset({'SPF-15_Slim_&_Slender_Lip_Balm'}),frozenset({'Google_Sunglasses'}),0.19672131147540983,1.0
5,frozenset({'Google_Sunglasses'}),frozenset({'SPF-15_Slim_&_Slender_Lip_Balm'}),0.19672131147540983,1.0
0,frozenset({'Google_Laptop_and_Cell_Phone_Stickers'}),frozenset({'Maze_Pen'}),0.20855614973262032,1.0
1,frozenset({'Maze_Pen'}),frozenset({'Google_Laptop_and_Cell_Phone_Stickers'}),0.20855614973262032,1.0
2,frozenset({'Maze_Pen'}),frozenset({'Google_22_oz_Water_Bottle'}),0.20588235294117646,1.0
3,frozenset({'Google_22_oz_Water_Bottle'}),frozenset({'Maze_Pen'}),0.20588235294117646,1.0
0,frozenset({'Google_Sunglasses'}),frozenset({'Google_22_oz_Water_Bottle'}),0.1739766081871345,1.0
1,frozenset({'Google_22_oz_Water_Bottle'}),frozenset({'Google_Sunglasses'}),0.1739766081871345,1.0
0,frozenset({'Ballpoint_LED_Light_Pen'}),frozenset({'Google_Large_Standard_Journal_Navy'}),0.19767441860465115,1.0
1,frozenset({'Google_Large_Standard_Journal_Navy'}),frozenset({'Ballpoint_LED_Light_Pen'}),0.19767441860465115,1.0
2,frozenset({'Google_Large_Standard_Journal_Navy'}),frozenset({'Google_22_oz_Water_Bottle'}),0.1511627906976744,1.0
3,frozenset({'Google_22_oz_Water_Bottle'}),frozenset({'Google_Large_Standard_Journal_Navy'}),0.1511627906976744,1.0
4,frozenset({'Google_Large_Standard_Journal_Navy'}),frozenset({'Google_Metallic_Notebook_Set'}),0.1511627906976744,1.0
5,frozenset({'Google_Metallic_Notebook_Set'}),frozenset({'Google_Large_Standard_Journal_Navy'}),0.1511627906976744,1.0
